NU_ANO_AVALIACAO;CO_UF;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;TP_SERIE;ID_TIPO_REDE;PC_ALUNO_ALFABETIZADO;VL_MEDIA_LP;PC_ALUNO_NIVEL_0_LP;PC_ALUNO_NIVEL_1_LP;PC_ALUNO_NIVEL_2_LP;PC_ALUNO_NIVEL_3_LP;PC_ALUNO_NIVEL_4_LP;PC_ALUNO_NIVEL_5_LP;PC_ALUNO_NIVEL_6_LP;PC_ALUNO_NIVEL_7_LP;PC_ALUNO_NIVEL_8_LP
2025;11;RO;1101104;Itapuã do Oeste;2;3;85.43;773.25130;1.29000;0.63000;1.29000;6.70000;6.63000;32.08000;30.20000;18.48000;2.70000
2025;11;RO;1101104;Itapuã do Oeste;2;5;85.43;773.25130;1.29000;0.63000;1.29000;6.70000;6.63000;32.08000;30.20000;18.48000;2.70000
2025;11;RO;1101203;Ministro Andreazza;2;3;84.09;770.42820;2.41000;1.21000;0.00000;6.03000;8.67000;33.02000;31.20000;12.63000;4.82000
2025;11;RO;1101203;Ministro Andreazza;2;5;84.09;770.42820;2.41000;1.21000;0.00000;6.03000;8.67000;33.02000;31.20000;12.63000;4.82000
2025;11;RO;1101302;Mirante da Serra;2;5;86.69;772.72770;2.08000;0.00000;2.63000;2.00000;12.02000;28.34000;34.63000;13.11000;5.18000
2025;11;RO;1101302;Mirante da Serra;2;3;86.69;772.72770;2.08000;0.00000;2.63000;2.00000;12.02000;28.34000;34.63000;13.11000;5.18000
2025;11;RO;1101401;Monte Negro;2;5;79.62;771.21170;1.26000;0.00000;5.41000;3.57000;12.54000;22.12000;37.56000;12.81000;4.72000
2025;11;RO;1101401;Monte Negro;2;3;79.62;771.21170;1.26000;0.00000;5.41000;3.57000;12.54000;22.12000;37.56000;12.81000;4.72000
2025;11;RO;1101435;Nova União;2;3;87.71;772.81530;2.25000;2.25000;0.00000;4.40000;6.80000;30.85000;37.79000;9.01000;6.65000
2025;11;RO;1101435;Nova União;2;5;87.71;772.81530;2.25000;2.25000;0.00000;4.40000;6.80000;30.85000;37.79000;9.01000;6.65000
2025;11;RO;1101450;Parecis;2;3;82.45;775.70050;0.00000;3.92000;1.93000;7.78000;5.85000;25.03000;30.67000;17.06000;7.75000
